name,description,close,premarket_close,premarket_change,premarket_volume,change,volume,average_volume_10d_calc,relative_volume_10d_calc,float_shares_outstanding,market_cap_basic,sector,exchange,flags
USDE,StablecoinX Inc.,2.08,5.08,144.23076923076923,3151016,-24.363636363636363,13498444,1453682.5,129.90489865287526,5542385.85398,12107201.221818183,Technology Services,NASDAQ,저유통(<20M) 과열(+100%↑)
WHLR,"Wheeler Real Estate Investment Trust, Inc.",0.9896,2.1009,112.29789814066291,10770490,-20.831999999999997,2777779,978114.275,3.9531584609391572,548588.0,542882.6848,Finance,NASDAQ,초저유통(<5M) 과열(+100%↑)
DSY,Big Tree Cloud Holdings Limited,2.88,5.3,84.02777777777779,2803457,7.462686567164169,3913418,464284.0,38.82139601232867,1251871.174656,23765392.477611937,Miscellaneous,NASDAQ,초저유통(<5M)
SURG,"SurgePays, Inc.",0.4149,0.6199,49.40949626416004,12986565,14.930747922437673,70653840,7211412.700000003,422.2399913942948,16023275.3799,10423074.12631579,Technology Services,NASDAQ,저유통(<20M) $1미만(상폐권)
LIMN,"Liminatus Pharma, Inc.",0.1148,0.1539,34.05923344947736,62333078,3.9855072463768124,41401243,11693090.4,5.347652185090997,26351883.396,5809755.557971015,Health Technology,NASDAQ,$1미만(상폐권)
SDEV,Stablecoin Development Corporation,1.04,1.34,28.84615384615385,2800256,-0.9523809523809532,8715282,1015775.8,54.74419928128189,1621961.07,52467768.22857142,Health Technology,AMEX,초저유통(<5M)
JEM,707 Cayman Holdings Limited,3.21,3.69,14.953271028037381,869469,-19.14357682619648,77585490,21452238.0,5.661982088720864,,4529207.312342569,Distribution Services,NASDAQ,float불명 거래량허수
